2020/05/28 14:06:07 customer_id=10000054 running_id=2667020 kind=026 resultStatus=0
2020/05/28 14:06:07 customer_id=10000054 running_id=2667020 kind=283 resultStatus=0
2020/05/28 14:07:51 customer_id=10000075 running_id=2667481 kind=026 resultStatus=0
2020/05/28 14:07:51 customer_id=10000075 running_id=2667481 kind=283 resultStatus=0
2020/05/28 14:31:20 customer_id=10000136 running_id=2670459 kind=026 resultStatus=0
2020/05/28 14:31:20 customer_id=10000136 running_id=2670459 kind=283 resultStatus=0
2020/05/28 14:32:13 customer_id=10000139 running_id=2670661 kind=026 resultStatus=0
2020/05/28 14:32:13 customer_id=10000139 running_id=2670661 kind=283 resultStatus=0
2020/05/28 14:35:53 customer_id=10000140 running_id=2670662 kind=026 resultStatus=0
2020/05/28 14:35:53 customer_id=10000140 running_id=2670662 kind=283 resultStatus=0
2020/05/28 14:55:43 customer_id=10000029 running_id=2666629 kind=026 resultStatus=0
2020/05/28 14:55:43 customer_id=10000029 running_id=2666629 kind=283 resultStatus=0
2020/05/28 18:17:16 customer_id=10000036 running_id=2666737 kind=026 resultStatus=0
2020/05/28 18:17:16 customer_id=10000036 running_id=2666737 kind=283 resultStatus=0
2020/05/29 08:57:31 customer_id=10000015 running_id=2666529 kind=026 resultStatus=0
2020/05/29 08:57:31 customer_id=10000015 running_id=2666529 kind=283 resultStatus=0
2020/05/29 09:57:39 customer_id=10000114 running_id=2669561 kind=026 resultStatus=0
2020/05/29 09:57:39 customer_id=10000114 running_id=2669561 kind=283 resultStatus=0
2020/05/29 09:57:39 customer_id=10000114 running_id=2670779 kind=283 resultStatus=0
2020/05/29 09:57:40 customer_id=10000105 running_id=2670780 kind=116 resultStatus=0
2020/05/29 09:57:40 customer_id=10000105 running_id=2670780 kind=283 resultStatus=0
2020/05/29 09:57:43 customer_id=10000105 running_id=2669375 kind=026 resultStatus=0
2020/05/29 09:57:43 customer_id=10000105 running_id=2669375 kind=283 resultStatus=0
2020/05/29 09:58:45 customer_id=10000137 running_id=2670468 kind=026 resultStatus=0
2020/05/29 09:58:45 customer_id=10000137 running_id=2670468 kind=283 resultStatus=0
2020/05/29 09:58:45 customer_id=10000137 running_id=2670576 kind=283 resultStatus=0
2020/05/29 09:59:37 customer_id=10000128 running_id=2670294 kind=026 resultStatus=0
2020/05/29 09:59:37 customer_id=10000128 running_id=2670294 kind=283 resultStatus=0
2020/05/29 10:01:00 customer_id=10000096 running_id=2669167 kind=026 resultStatus=0
2020/05/29 10:01:00 customer_id=10000096 running_id=2669167 kind=283 resultStatus=0
2020/05/29 14:39:33 customer_id=10000047 running_id=2666862 kind=026 resultStatus=0
2020/05/29 14:39:33 customer_id=10000047 running_id=2666862 kind=283 resultStatus=1
2020/05/30 12:48:06 customer_id=10000008 running_id=2665963 kind=026 resultStatus=0
2020/05/30 12:48:06 customer_id=10000008 running_id=2665963 kind=283 resultStatus=1
2020/05/30 12:48:19 customer_id=10000007 running_id=2665938 kind=026 resultStatus=0
2020/05/30 12:48:19 customer_id=10000007 running_id=2665938 kind=283 resultStatus=1
2020/05/30 12:48:41 customer_id=10000003 running_id= kind=026 resultStatus=1
